Unselbstst„ndiges Einkommen nach Bezirk und Geschlecht ab 2002;;;;;;;;;;;;;;;
Income from dependent employment by district and sex since 2002;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE;
AT1;AT13;AT130;92201;0000;1872941000;1164151000;708790000;19091;22105;15745;24193;26860;20453;20031231;
AT1;AT13;AT130;92301;0000;1210574000;761743000;448831000;20869;24792;16651;26455;30095;21620;20031231;
AT1;AT13;AT130;90101;0000;292103000;194301000;97802000;25463;31961;18536;34506;42806;24963;20021231;
AT1;AT13;AT130;90201;0000;919962000;559682000;360280000;16439;18301;14282;22015;24312;19067;20021231;
AT1;AT13;AT130;90301;0000;1011882000;608994000;402888000;18701;21444;15804;24617;27968;20739;20021231;
AT1;AT13;AT130;90401;0000;402479000;243807000;158672000;20325;23641;16876;27348;31586;22539;20021231;
AT1;AT13;AT130;90501;0000;554361000;327128000;227233000;16258;17937;14395;22059;24198;19454;20021231;
AT1;AT13;AT130;90601;0000;388253000;229738000;158515000;18724;21260;16069;25294;28491;21628;20021231;
AT1;AT13;AT130;90701;0000;396154000;230897000;165257000;18429;21129;15725;25244;28618;21545;20021231;
AT1;AT13;AT130;90801;0000;326678000;191925000;134753000;20108;23342;16931;27602;31529;23310;20021231;
AT1;AT13;AT130;90901;0000;528261000;313173000;215088000;19106;22183;16031;26045;30036;21752;20021231;
AT1;AT13;AT130;91001;0000;1667870000;1012406000;655464000;16707;18657;14478;21465;23616;18680;20021231;
AT1;AT13;AT130;91101;0000;918815000;563545000;355270000;16742;18883;14296;21234;23283;18441;20021231;
AT1;AT13;AT130;91201;0000;886854000;530666000;356188000;16950;18884;14794;22119;24436;19282;20021231;
AT1;AT13;AT130;91301;0000;748493000;480043000;268450000;23914;29951;17877;30220;36793;22617;20021231;
AT1;AT13;AT130;91401;0000;1042449000;630278000;412171000;19511;22571;16300;24584;28033;20581;20021231;
AT1;AT13;AT130;91501;0000;675173000;400971000;274202000;14999;16355;13439;20153;21864;18033;20021231;
AT1;AT13;AT130;91601;0000;975788000;578010000;397778000;16330;18004;14465;21412;23688;18735;20021231;
AT1;AT13;AT130;91701;0000;573516000;348146000;225370000;17604;20022;14960;23386;26641;19591;20021231;
AT1;AT13;AT130;91801;0000;634549000;389461000;245088000;20413;24325;16466;27123;31758;21854;20021231;
AT1;AT13;AT130;91901;0000;891554000;572318000;319236000;22469;27605;17113;29480;35334;22559;20021231;
AT1;AT13;AT130;92001;0000;771487000;464248000;307239000;15696;17143;13986;20817;22595;18542;20021231;
AT1;AT13;AT130;92101;0000;1559022000;955827000;603195000;17977;20611;15081;22678;25217;19313;20021231;
AT1;AT13;AT130;92201;0000;1844167000;1136589000;707578000;18915;22016;15577;23416;26217;19692;20021231;
AT1;AT13;AT130;92301;0000;1209613000;760085000;449528000;20799;24849;16511;25742;29755;20674;20021231;
